# Fix print output for fix myfixTypes
31,15,34,372,28
29,17,34,372,28
25,22,33,372,28
28,18,34,372,28
26,17,37,373,27
27,18,35,373,27
27,18,35,372,28
29,16,35,373,27
29,14,37,373,27
30,12,38,373,27
27,13,40,373,27
26,13,41,373,27
25,13,42,372,28
28,10,42,372,28
27,9,44,372,28
28,12,40,373,27
26,12,42,373,27
30,4,46,373,27
30,5,45,373,27
30,2,48,373,27
28,3,49,373,27
28,1,51,372,28
26,7,47,373,27
26,8,46,373,27
25,10,45,373,27
26,10,44,373,27
27,9,44,373,27
26,8,46,373,27
26,10,44,373,27
26,5,49,372,28
24,5,51,372,28
25,5,50,372,28
25,3,52,372,28
26,3,51,372,28
19,10,51,372,28
21,7,52,371,29
19,10,51,371,29
21,10,49,370,30
20,13,47,371,29
23,9,48,371,29
24,9,47,371,29
25,8,47,371,29
24,7,49,371,29
25,6,49,371,29
23,8,49,370,30
25,9,46,370,30
25,13,42,370,30
28,12,40,370,30
28,14,38,370,30
33,10,37,370,30
31,12,37,370,30
32,11,37,370,30
36,6,38,369,31
35,6,39,369,31
34,8,38,369,31
35,10,35,369,31
39,7,34,369,31
42,5,33,369,31
40,7,33,369,31
40,9,31,369,31
35,14,31,369,31
32,18,30,371,29
30,20,30,370,30
31,19,30,370,30
31,20,29,370,30
35,15,30,369,31
32,14,34,369,31
34,11,35,370,30
36,8,36,370,30
35,9,36,370,30
32,11,37,370,30
32,14,34,371,29
31,18,31,373,27
29,21,30,373,27
30,19,31,373,27
30,15,35,373,27
28,15,37,372,28
32,10,38,373,27
33,8,39,374,26
36,7,37,374,26
35,7,38,374,26
32,10,38,374,26
33,7,40,374,26
34,6,40,374,26
32,9,39,372,28
32,8,40,373,27
32,10,38,373,27
31,10,39,373,27
33,5,42,371,29
32,7,41,370,30
31,5,44,369,31
29,9,42,369,31
29,8,43,369,31
33,4,43,369,31
28,8,44,369,31
30,6,44,369,31
29,7,44,369,31
25,8,47,369,31
26,7,47,369,31
27,6,47,369,31
25,8,47,369,31
31,4,45,369,31
33,3,44,369,31
31,6,43,369,31
31,6,43,369,31
25,9,46,369,31
26,7,47,369,31
25,9,46,369,31
24,14,42,369,31
27,9,44,369,31
29,8,43,369,31
26,11,43,369,31
27,12,41,369,31
27,10,43,369,31
29,7,44,369,31
27,7,46,369,31
29,6,45,369,31
32,4,44,370,30
33,4,43,370,30
33,4,43,370,30
31,4,45,370,30
30,7,43,370,30
29,8,43,370,30
29,5,46,370,30
34,4,42,370,30
35,3,42,370,30
35,4,41,370,30
35,6,39,370,30
33,8,39,370,30
32,10,38,370,30
32,9,39,370,30
33,8,39,370,30
34,7,39,370,30
33,9,38,370,30
32,9,39,370,30
32,7,41,370,30
36,3,41,370,30
33,10,37,370,30
32,11,37,370,30
33,9,38,370,30
31,11,38,370,30
30,13,37,369,31
32,7,41,369,31
34,4,42,370,30
34,5,41,369,31
33,7,40,370,30
32,9,39,370,30
32,11,37,370,30
31,15,34,369,31
34,9,37,369,31
35,9,36,370,30
38,4,38,369,31
39,3,38,369,31
41,3,36,368,32
41,5,34,367,33
38,7,35,368,32
34,11,35,368,32
